ID,Nombre Producto,Cantidad,Precio,Codigo de barras propio,Categoria
1000132,Collar Grueso de Riata,2,18000,0,Accesorios
1000133,Collar Grueso de Tela,6,9000,0,Accesorios
1000134,Collar Plastico (PACHA),2,7000,0,Accesorios
1000135,Collar Policedog Grande,3,18000,0,Accesorios
1000136,Collar Puas Grueso,9,20000,0,Accesorios
1000137,Collar Puas Pequeño,5,14000,0,Accesorios
1000138,Collar refLEctivo de huesos,1,9000,0,Accesorios
1000139,Collares Pequeños,13,5000,0,Accesorios
5420036917076,"Confotis Perro 18,1-27,2",0,40000,1,Medicamentos
5420036916536,"Confotis Perro 27,3-54,5",1,47000,1,Medicamentos
1000142,Correa con collar REFELCTIVA,3,18000,0,Accesorios
6918061810138,Correa Retractil,1,16000,1,Accesorios
1000144,Cortauñas con Lima de Perro,1,15000,0,Accesorios
1000145,Disfraz Capitan America M,1,24000,0,Accesorios
1000146,Disfraz Reina D e Corazones XL,1,33000,0,Accesorios
1000147,Disfrsfraz Abeja L,1,28000,0,Accesorios
1000148,Disfrsfraz Abeja XL,1,33000,0,Accesorios
1000149,Disfrsfraz Blanca Nieves L,1,28000,0,Accesorios
1000150,Disfrsfraz Hada Magica XL,1,33000,0,Accesorios
1000151,Disfrsfraz Superman L,1,28000,0,Accesorios
1000152,Educan x30Ml,2,5000,0,Aseo
1000153,Escobita y Recogedor,2,2000,0,Accesorios
7501072209801,Felix Comida Humeda Adulto Atún,1,3200,1,Comida Humeda
7501072209788,Felix Comida Humeda Adulto Carne,2,3200,1,Comida Humeda
7501072209818,Felix Comida Humeda Adulto Pescado blanco,3,3200,1,Comida Humeda
7501072209795,Felix Comida Humeda Adulto Pavo,1,3200,1,Comida Humeda
7501072209849,Felix Comida Humeda Adulto Salmón,3,3200,1,Comida Humeda
1000157,Frisby,2,6000,0,Juguetes
7707115300102,Galgocal x200,4,8000,1,Medicamentos
7707115399878,Galgocal x600,7,12000,1,Medicamentos
1000160,Galleta Oreo,1,7000,0,Juguetes
23100223902,Galletas Temptatións Gato x48gm,2,6600,1,Premios / Snacks
7702037102285,Guantes Negros Peluqueria,300,1000,1,Otros
7709990393996,Guantes Nitrilo Delgado,0,2400,1,Otros
787579391028,Guantes Nitrilo Gruesos,2,2500,1,Otros
1000165,Huesos Juguete,2,12000,0,Juguetes
7707090001049,"Incros Vital en Escamas x14,2 gm",2,3500,1,Medicamentos
1000167,Jabon Antiborreico de Azufre X90 gm,0,7500,0,Aseo
7702487037021,Jabon Canamor Arbol de Te X90gm,3,12300,1,Aseo
7702487000667,Jabon Canamor Insecticida X90gm,3,10000,1,Aseo
1000170,Jalador con Agarre,1,6500,0,Accesorios
1000171,Juguete Raton de Resorte con Base,2,12000,0,Juguetes
1000172,Juguete Para Gato en Pareja,1,8500,0,Juguetes
1000173,Lazo con Mosqueton grueso - largo,2,14000,0,Accesorios
1000174,Lazo en Cadena,0,19000,0,Accesorios
1000175,Lazo Semireflectivo (JUAN),3,30000,0,Accesorios
1000176,Lazo Trenza,2,19000,0,Accesorios
1000177,Lazo y collar en trenza con Mozqueton,2,30000,0,Accesorios
1000178,Maxipulgin X10 Ml,3,5000,0,Medicamentos
7707321672727,Meloxipet 0.15% X10ML ,0,15000,1,Medicamentos
7709387191716,Michikos Atún x14GM,0.727272727,2200,1,Premios / Snacks
7709387191785,Michikos Salmón x14GM,1,2200,1,Premios / Snacks
